,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,example-package-dealer,Swift
27,example-package-deckofplayingcards,Swift
28,example-package-fisheryates,Swift
29,example-package-playingcard,Swift
30,FHIRModels,Swift
31,foundationdb,C++
32,fstools,C
33,GCGC,Jupyter Notebook
34,homebrew-apple,Ruby
35,HomeKitADK,C
36,indexstore-db,C++
37,learning-compressible-subspaces,Python
38,learning-subspaces,Python
39,llvm-monorepo-root,
40,llvm-project,
41,llvm-project-v5,C++
42,llvm-project-v5-split,C++
43,MaterialX,
44,ml-afv,Python
45,ml-all-pairs,Python
46,ml-ane-transformers,Python
47,ml-aspanformer,Python
48,ml-autofocusformer,Python
49,ml-autofocusformer-segmentation,Python
50,ml-batchquant,Python
51,ml-capsules-inverted-attention-routing,Python
52,ml-cifar-10-faster,Python
53,ml-code-switched-speech-translation,Python
54,ml-collegial-ensembles,Python
55,ml-core,Python
56,ml-covid-mobility,R
57,ml-cread,Python
58,ml-cvnets,Python
59,ml-cvpr2019-swd,Python
60,ml-dab,Python
61,ml-data-parameters,Python
62,ml-destseg,Python
63,ml-dms-dataset,Python
64,ml-duet,Python
65,ml-entropy-reconstruction,Python
66,ml-envmapnet,Python
67,ml-equivariant-neural-rendering,Jupyter Notebook
68,ml-facelit,Python
69,ml-fct,Python
70,ml-finerecon,Python
71,ml-flair,Jupyter Notebook
72,ml-gaudi,
73,ml-gmpi,Python
74,ml-gsn,Python
75,ml-hierarchical-confusion-matrix,TypeScript
76,ml-hypersim,Python
77,ml-interspeech2022-phi_rtn,
78,ml-knowledge-conflicts,Python
79,ml-live-pose,
80,ml-mkqa,Python
81,ml-mobileone,Swift
82,ml-multiple-futures-prediction,Python
83,ml-ncg,Python
84,ml-neilf,Python
85,ml-neuman,Python
86,ml-no-token-left-behind,Jupyter Notebook
87,ml-pointconvformer,Python
88,ml-pointersect,Python
89,ml-probabilistic-attention,Python
90,ml-projunit,Python
91,ml-qrecc,Python
92,ml-quant,Python
93,ml-robust-expert-augmentations,Python
94,ml-sad,Python
95,ml-selfcond,Python
96,ml-shuffling-amplification,Python
97,ml-spin,Python
98,ml-stable-diffusion,Python
99,ml-stuttering-events-dataset,Python
100,ml-tract,Python
101,ml-transcript-translation-consistency-ratings,
102,ml-translate-vis,TypeScript
103,ml-tree-dst,Python
104,ml-tune-mode-convbn,Python
105,ml-upscale,Jupyter Notebook
106,ml-uwac,Python
107,ml-vfi-smiff,Python
108,openjdk,Java
109,password-manager-resources,JavaScript
110,sample-backyard-birds,Swift
111,sample-cloudkit-coredatasync,Swift
112,sample-cloudkit-encryption,Swift
113,sample-cloudkit-privatedb,Swift
114,sample-cloudkit-privatedb-sync,Swift
115,sample-cloudkit-queries,Swift
116,sample-cloudkit-sharing,Swift
117,sample-cloudkit-sync-engine,Swift
118,sample-cloudkit-tooling,JavaScript
119,sample-cloudkit-zonesharing,Swift
120,sample-food-truck,Swift
121,servicetalk,Java
122,sourcekit-lsp,Swift
123,swift,C++
124,swift-3-api-guidelines-review,Swift
125,swift-algorithms,Swift
126,swift-argument-parser,Swift
127,swift-asn1,Swift
128,swift-async-algorithms,Swift
129,swift-atomics,Swift
130,swift-book,Markdown
131,swift-cassandra-client,Swift
132,swift-certificates,Swift
133,swift-clang,C++
134,swift-clang-tools-extra,C++
135,swift-cluster-membership,Swift
136,swift-cmake-examples,CMake
137,swift-cmark,C
138,swift-collections,Swift
139,swift-collections-benchmark,Swift
140,swift-community-hosted-continuous-integration,
141,swift-compiler-rt,C
142,swift-corelibs-foundation,Swift
143,swift-corelibs-libdispatch,C
144,swift-corelibs-xctest,Swift
145,swift-crypto,C
146,swift-distributed-actors,Swift
147,swift-distributed-tracing,Swift
148,swift-distributed-tracing-baggage-core,Swift
149,swift-distributed-tracing-extras,Swift
150,swift-docc,Swift
151,swift-docc-plugin,Swift
152,swift-docc-render,JavaScript
153,swift-docc-render-artifact,
154,swift-docc-symbolkit,Swift
155,swift-docker,Dockerfile
156,swift-driver,Swift
157,swift-evolution,Markdown
158,swift-evolution-staging,Swift
159,swift-experimental-string-processing,Swift
160,swift-format,Swift
161,swift-foundation,Swift
162,swift-foundation-icu,C
163,swift-http-structured-headers,Swift
164,swift-http-types,Swift
165,swift-installer-scripts,CMake
166,swift-integration-tests,Python
167,swift-internals,HTML
168,swift-issues,
169,swift-libcxx,C++
170,swift-llbuild,C++
171,swift-llbuild2,Swift
172,swift-lldb,C++
173,swift-llvm,LLVM
174,swift-llvm-bindings,Swift
175,swift-lmdb,C
176,swift-log,Swift
177,swift-markdown,Swift
178,swift-metrics,Swift
179,swift-metrics-extras,Swift
180,swift-nio,Swift
181,swift-nio-examples,Swift
182,swift-nio-extras,Swift
183,swift-nio-http2,Swift
184,swift-nio-imap,Swift
185,swift-nio-nghttp2-support,Swift
186,swift-nio-ssh,Swift
187,swift-nio-ssl,C
188,swift-nio-ssl-support,Swift
189,swift-nio-transport-services,Swift
190,swift-nio-zlib-support,Swift
191,swift-numerics,Swift
192,swift-openapi-generator,Swift
193,swift-openapi-runtime,Swift
194,swift-openapi-urlsession,Swift
195,swift-org-website,SCSS
196,swift-package-collection-generator,Swift
197,swift-package-manager,Swift
198,swift-package-registry-compatibility-test-suite,Swift
199,swift-protobuf,Swift
200,swift-protobuf-plugin,
201,swift-protobuf-test-conformance,
202,swift-sample-distributed-actors-transport,Swift
203,swift-se0270-range-set,Swift
204,swift-se0288-is-power,Swift
205,swift-service-context,Swift
206,swift-service-discovery,Swift
207,swift-source-compat-suite,Python
208,swift-standard-library-preview,Swift
209,swift-statsd-client,Swift
210,swift-stress-tester,Swift
211,swift-syntax,Swift
212,swift-system,Swift
213,swift-tools-support-async,Swift
214,swift-tools-support-core,Swift
215,swift-xcode-playground-support,Swift
216,swiftpm-on-llbuild2,Swift
217,tensorflow_macos,Shell
218,turicreate,C++
219,unityplugins,C#
220,VideoFlashingReduction,Mathematica
221,vqg-multimodal-assistant,Python
